# mu sigma energy error acceptance
0.94 0.68 -0.3165519095 0.01821402914 0.68195
0.94 0.7 -0.2953752346 0.02246100741 0.7017
0.94 0.72 -0.2652758193 0.02556150759 0.7174
0.94 0.74 -0.1940355153 0.02881669344 0.7283
0.94 0.76 -0.1671069324 0.0363000105 0.737
0.94 0.78 -0.09664007795 0.03900052573 0.7454
0.94 0.8 -0.07521960193 0.03556477183 0.746
0.96 0.4 0.2921216782 0.02878380048 0.3613
0.96 0.42 0.1662744416 0.02620634478 0.37705
0.96 0.44 0.05696453782 0.02131992436 0.39565
0.96 0.46 -0.03921095114 0.0156472641 0.424
0.96 0.48 -0.118551669 0.01355857661 0.44245
0.96 0.5 -0.1915926725 0.01168268865 0.47975
0.96 0.52 -0.2380649639 0.009580259455 0.50375
0.96 0.54 -0.2946967712 0.008813862616 0.53415
0.96 0.56 -0.3168617539 0.007590402449 0.55365
0.96 0.58 -0.3344756946 0.00878378379 0.576
0.96 0.6 -0.3352832703 0.009934079896 0.60275
0.96 0.62 -0.3563985084 0.01261034939 0.61765
0.96 0.64 -0.3388034593 0.01280367718 0.6511
0.96 0.66 -0.3017101807 0.01708456514 0.65895
0.96 0.68 -0.2483287959 0.02197770009 0.67645
0.96 0.7 -0.2582836031 0.01983523089 0.69985
0.96 0.72 -0.2378183018 0.02630912712 0.70425
0.96 0.74 -0.1783456553 0.02646981164 0.7256
